Risk Identification,,Risk Analysis,,,,,,,Risk Evaluation and Control,,,,,,
Process,Potential Failure Mode,Potential Effects,Severity,Potential Causes,Occurrence,Current Process Control,Detection Level,RPN,Recommended Action,Responsible,Action Taken,Severity,Occurrence,Detection Level,RPN
(What is the Process step?),"In what ways could the step, change or feature go wrong?",What is the impact on the customer if this failure is not prevented or corrected?,,"What causes the step, change or feature to go wrong? (how could it occur?)",,What controls exist that either prevent or detect the failure?,,,What are the recommended actions for reducing the occurrence of the cause or improving detection?,Who is responsible for making sure the actions are completed?,What actions were completed (and when) with respect to the RPN?,,,,
Barrel molding,Short shot / incomplete barrel,"Leakage, incorrect volume delivery to patient",9,"Improper molding parameters, low melt temperature",4,"In?process visual inspection, cavity pressure monitoring",6,216,"Optimize molding parameters, install auto cavity pressure alarm",Production / Quality,—,9,2,3,54
Graduation marking,Incorrect scale marking,Wrong dosage administered to patient,9,"Wrong printing plate, setup error",4,Manual visual inspection,6,216,"Barcode?linked plate verification, vision inspection",Manufacturing / QA,—,9,2,2,36
Plunger assembly,Loose plunger fit,"Drug leakage, inaccurate dose",8,Incorrect stopper dimension,3,Fit test sampling,5,120,100% plunger force test,Production,—,8,2,3,48
Sterilization (EO),Incomplete sterilization,Infection risk to patient,10,Incorrect EO cycle parameters,2,"Validated EO cycle, biological indicators",3,60,Add real?time EO monitoring & alarms,QA / Engineering,—,10,1,2,20
Packaging,Seal integrity failure,Loss of sterility during storage,9,Incorrect sealing temperature or pressure,3,"Seal strength test, visual inspection",4,108,Automated seal parameter monitoring,Packaging / QA,—,9,2,2,36
Syringe Marking (Graduation & Text),Faded / incorrect / misaligned markings,"Dosage misinterpretation, medication error to patient",9,"Ink adhesion failure, incorrect curing, wrong artwork version",4,"Visual inspection, artwork approval",6,216,"Vision inspection system, ink adhesion validation, artwork version control",Manufacturing / QA,—,9,2,2,36
Syringe Marking (Graduation & Text),Missing graduation markings,User unable to measure dose accurately,8,"Ink nozzle clogging, skipped printing cycle",3,Operator visual inspection,6,144,Automatic vision inspection with reject mechanism,Manufacturing / QA,—,8,2,2,32
Syringe Marking (Graduation & Text),Smudged or blurred markings,Poor readability leading to dosing error,7,"Excess ink, insufficient drying time",4,Sampling inspection,5,140,Optimize ink viscosity and curing parameters,Process Engineering,—,7,2,2,28
Syringe Marking (Graduation & Text),Incorrect artwork / wrong language,"Regulatory non-compliance, user confusion",9,Uncontrolled artwork revision,2,Document control approval,5,90,Electronic artwork version control with line clearance,QA / Regulatory,—,9,1,2,18
Barrel molding,Warped barrel,"Plunger sticking, inaccurate dose",7,"Uneven cooling, mold wear",3,Visual & dimensional check,5,105,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,7,2,3,42
Barrel molding,Flash on barrel,"User injury, assembly issue",6,Excess injection pressure,4,Visual inspection,5,120,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,6,3,3,54
Needle bonding,Needle pull-out,Needle detachment during use,10,Insufficient bonding force,2,Pull test sampling,4,80,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,10,1,2,20
Needle bonding,Needle misalignment,"Pain, improper injection angle",8,Fixture misalignment,3,Visual inspection,5,120,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,8,2,3,48
Siliconization,Excess silicone,"Drug interaction, dosing error",7,Over-spray of silicone,3,Process parameter control,5,105,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,7,2,3,42
Siliconization,Insufficient silicone,High plunger force,6,Blocked spray nozzle,4,Functional test,4,96,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,6,3,2,36
Plunger stopper,Cracked stopper,"Leakage, loss of sterility",9,"Material defect, aging",2,Incoming inspection,4,72,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,9,1,2,18
Plunger stopper,Incorrect stopper hardness,Inaccurate dose delivery,7,Wrong material grade,3,Material CoA review,5,105,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,7,2,3,42
Assembly,Foreign particle inclusion,Contamination risk,9,Poor housekeeping,3,Visual inspection,6,162,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,9,2,4,72
Packaging,Wrong label applied,Regulatory non-compliance,8,Label mix-up,2,Line clearance check,5,80,Process optimization / poka?yoke / automation,Manufacturing / QA / Engineering,—,8,1,3,24
Incoming material inspection,Wrong barrel resin grade,"Reduced strength, cracking in use",8,Supplier mix-up,2,"CoA verification, incoming inspection",4,64,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,8,1,2,16
Incoming material inspection,Contaminated raw material,Biocompatibility risk,9,Improper supplier handling,2,"Supplier audit, incoming inspection",5,90,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,9,1,3,27
Barrel molding,Black spots / inclusions,"Cosmetic defect, possible contamination concern",4,Material degradation,3,Visual inspection,5,60,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,4,2,3,24
Barrel molding,Dimensional out-of-tolerance,"Plunger leakage, dose inaccuracy",8,"Tool wear, process drift",3,"SPC, dimensional check",4,96,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,8,2,2,32
Plunger assembly,Plunger jam / high break-loose force,User unable to deliver dose smoothly,7,Incorrect silicone distribution,3,Functional testing,4,84,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,7,2,2,28
Plunger assembly,Plunger disengagement,Loss of function during use,9,Assembly force out of spec,2,Assembly parameter monitoring,4,72,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,9,1,2,18
EO sterilization,Residual EO above limits,Toxicity risk to patient,10,Inadequate aeration time,2,Residual EO testing,4,80,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,10,1,2,20
EO sterilization,Packaging deformation after EO,"Seal compromise, sterility risk",9,Excess EO temperature,2,Post-EO visual inspection,4,72,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,9,1,2,18
Final inspection,Incorrect lot traceability,Recall escalation risk,8,Labeling / ERP error,2,Batch record review,3,48,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,8,1,1,8
Final inspection,Mixed product variants,"Customer complaint, recall risk",9,Line clearance failure,2,Line clearance checklist,4,72,Strengthen supplier control / process validation / poka-yoke,QA / Manufacturing / Engineering,—,9,1,2,18
